wikidataId,name,reportingPeriodStart,reportingPeriodEnd,accuracyWithoutUndefined-proportion,accuracyWithoutUndefined-numbCorrect,accuracyWithoutUndefined-numbFields,precision,precision-numbHasActualValueAndIsExtracted,precision-numbExtractedValues,recall,recall-numbHasActualValueAndIsExtracted,recall-numbActualValues,magnError-proportion,magnError-numbErrors,magnError-numbFields,fieldSwapError-proportion,fieldSwapError-numbError,fieldSwapError-numbFields
Q106634027,CellaVision,2024-01-01,2024-12-31,0.6666666666666666,2,3,1,2,2,0.6666666666666666,2,3,0,0,3,0,0,3
Q10720882,XANO Industri,2024-01-01,2024-12-31,0.9090909090909091,10,11,1,11,11,1,11,11,0,0,11,0,0,11
Q126366671,Lundbergs Fastigheter,2024-01-01,2024-12-31,0.3333333333333333,2,6,1,2,2,0.3333333333333333,2,6,0,0,6,0,0,6

Q1671623,Intrum,2024-01-01,2024-12-31,1,10,10,1,10,10,1,10,10,0,0,10,0,0,10
Q6060753,Latour,2024-01-01,2024-12-31,0.9444444444444444,17,18,1,17,17,0.9444444444444444,17,18,0,0,18,0,0,18
Q378944,MTG,2024-01-01,2024-12-31,1,13,13,1,13,13,1,13,13,0,0,13,0,0,13
Q115167363,NCAB Group,2024-01-01,2024-12-31,0.7142857142857143,10,14,0.9230769230769231,12,13,0.9230769230769231,12,13,0,0,14,0,0,14

Q7295902,Ratos,2024-01-01,2024-12-31,0.9090909090909091,10,11,1,10,10,0.9090909090909091,10,11,0,0,11,0,0,11
Q93559269,SBB,2024-01-01,2024-12-31,0.9375,15,16,0.9375,15,16,1,15,15,0,0,16,0,0,16
Q52846,SKF,2024-01-01,2024-12-31,0.29411764705882354,5,17,1,16,16,0.9411764705882353,16,17,0,0,17,0,0,17
Q108733347,Vitec Software Group,2024-01-01,2024-12-31,0.45454545454545453,5,11,0.8181818181818182,9,11,1,9,9,0,0,11,0,0,11
Q820970,Hexagon,2024-01-01,2024-12-31,0.8125,13,16,1,16,16,1,16,16,0,0,16,0,0,16

Q3181430,PostNord,2024-01-01,2024-12-31,0.9166666666666666,11,12,1,12,12,1,12,12,0,0,12,0,0,12
Q219501,Saab,2024-01-01,2024-12-31,1,13,13,1,13,13,1,13,13,0,0,13,0,0,13
Q10660896,Samhall,2024-01-01,2024-12-31,1,14,14,1,14,14,1,14,14,0,0,14,0,0,14

Q1142582,Södra Skogsägarna,2024-01-01,2024-12-31,0.8823529411764706,15,17,0.9411764705882353,16,17,1,16,16,0,0,17,0,0,17
Q3924567,Svenska spel,2024-01-01,2024-12-31,0.9375,15,16,0.9375,15,16,1,15,15,0,0,16,0,0,16
Q1476113,Systembolaget,2024-01-01,2024-12-31,1,12,12,1,12,12,1,12,12,0,0,12,0,0,12
Q309865,Tele2,2024-01-01,2024-12-31,0.13333333333333333,2,15,0.9333333333333333,14,15,1,14,14,0,0,15,0,0,15

Q1703203,Trelleborg,2024-01-01,2024-12-31,0.8571428571428571,6,7,1,6,6,0.8571428571428571,6,7,0,0,7,0,0,7
Q126367344,Truecaller,2024-01-01,2024-12-31,0.2857142857142857,2,7,1,2,2,0.2857142857142857,2,7,0,0,7,0,0,7
Q731938,AstraZeneca,2024-01-01,2024-12-31,1,6,6,1,6,6,1,6,6,0,0,6,0,0,6
Q10422059,Atrium Ljungberg,2024-01-01,2024-12-31,0.9411764705882353,16,17,1,16,16,0.9411764705882353,16,17,0,0,17,0,0,17
Q10711820,VBG Group,2024-01-01,2024-12-31,1,2,2,1,2,2,1,2,2,0,0,2,0,0,2
Q787044,Autoliv,2024-01-01,2024-12-31,0.9,9,10,0.9,9,10,1,9,9,0,0,10,0,0,10

Q2723182,Betsson,2024-01-01,2024-12-31,0.2857142857142857,2,7,0.5714285714285714,4,7,1,4,4,0,0,7,0,0,7
Q10526893,Hufvudstaden,2024-01-01,2024-12-31,0.3333333333333333,4,12,0.7142857142857143,5,7,0.5,5,10,0,0,12,0,0,12
Q899356,Husqvarna,2024-01-01,2024-12-31,1,9,9,1,9,9,1,9,9,0,0,9,0,0,9
Q10535326,Indutrade,2024-01-01,2024-12-31,0.46153846153846156,6,13,0.8333333333333334,10,12,0.9090909090909091,10,11,0,0,13,0,0,13
Q4994121,Kinnevik,2024-01-01,2024-12-31,0.6363636363636364,7,11,0.875,7,8,0.7,7,10,0,0,11,0,0,11
Q1805602,Lantmännen,2024-01-01,2024-12-31,0.4444444444444444,4,9,0.7777777777777778,7,9,1,7,7,0.1111111111111111,1,9,0,0,9
Q10584597,Mycronic,2024-01-01,2024-12-31,0.4,6,15,0.8461538461538461,11,13,0.8461538461538461,11,13,0,0,15,0,0,15
Q10600414,Nibe Industrier,2024-01-01,2024-12-31,0.4444444444444444,4,9,1,6,6,0.6666666666666666,6,9,0,0,9,0,0,9
Q10601765,Nolato,2024-01-01,2024-12-31,1,19,19,1,19,19,1,19,19,0,0,19,0,0,19
Q115167358,Nyfosa,2024-01-01,2024-12-31,0.1111111111111111,1,9,1,6,6,0.6666666666666666,6,9,0,0,9,0,0,9
Q4356297,Peab,2024-01-01,2024-12-31,0.5,5,10,0.875,7,8,0.7777777777777778,7,9,0,0,10,0,0,10
Q4827724,Avanza Bank,2024-01-01,2024-12-31,1,14,14,1,14,14,1,14,14,0,0,14,0,0,14

Q862811,Billerud,2024-01-01,2024-12-31,1,17,17,1,17,17,1,17,17,0,0,17,0,0,17

Q30938280,Essity,2024-01-01,2024-12-31,1,6,6,1,6,6,1,6,6,0,0,6,0,0,6
Q60967616,Fortnox,2024-01-01,2024-12-31,0.9285714285714286,13,14,0.9285714285714286,13,14,1,13,13,0,0,14,0,0,14
Q1028092,Green Cargo,2024-01-01,2024-12-31,0.5714285714285714,4,7,0.8571428571428571,6,7,1,6,6,0,0,7,0,0,7
Q65196379,Lifco,2024-01-01,2024-12-31,1,16,16,1,16,16,1,16,16,0,0,16,0,0,16
Q109773651,Lindab International,2024-01-01,2024-12-31,0.8823529411764706,15,17,0.9411764705882353,16,17,1,16,16,0,0,17,0,0,17
Q52579,LKAB,2024-01-01,2024-12-31,0.6923076923076923,9,13,1,13,13,1,13,13,0.23076923076923078,3,13,0,0,13

Q1537811,Skanska,2024-01-01,2024-12-31,0.8333333333333334,10,12,0.9090909090909091,10,11,0.9090909090909091,10,11,0,0,12,0,0,12
Q163810,Volvo AB,2024-01-01,2024-12-31,0.8571428571428571,6,7,1,7,7,1,7,7,0,0,7,0,0,7
Q674575,Arla,2024-01-01,2024-12-31,1,10,10,1,10,10,1,10,10,0,0,10,0,0,10
Q10429580,Bilia,2024-01-01,2024-12-31,0.6428571428571429,9,14,1,14,14,1,14,14,0,0,14,0,0,14
Q10434929,Bravida Holding,2024-01-01,2024-12-31,0.9375,15,16,1,15,15,0.9375,15,16,0,0,16,0,0,16
Q106625550,Corem Property Group,2024-01-01,2024-12-31,0.5384615384615384,7,13,0.9230769230769231,12,13,1,12,12,0,0,13,0,0,13
Q109974149,Electrolux Professional,2024-01-01,2024-12-31,1,15,15,1,15,15,1,15,15,0,0,15,0,0,15
Q10521828,Hemnet Group,2024-01-01,2024-12-31,0.8571428571428571,12,14,1,14,14,1,14,14,0,0,14,0,0,14
Q1467848,Holmen,2024-01-01,2024-12-31,0.5384615384615384,7,13,1,12,12,0.9230769230769231,12,13,0,0,13,0,0,13
