companyName,wiki_id,url,Turnover,turnover_currency,no_employees,23_scope1,23_scope2MB,23_scope2LB,23_scope3,23_total,23_scope1_2Sum,23_scope3Sum,23_totalSum,23_scope3_1,23_scope3_2,23_scope3_3,23_scope3_4,23_scope3_5,23_scope3_6,23_scope3_7,23_scope3_8,23_scope3_9,23_scope3_10,23_scope3_11,23_scope3_12,23_scope3_13,23_scope3_14,23_scope3_15,23_scope3_16,23_biogenic
AAK,Q10397786,https://storage.mfn.se/1d69c9c1-7fe6-48fb-a87c-647046b7aa8d/aak-sustainability-report-2023.pdf,46028331000,sek,4100,"260,834","40,437","55,107",6817620,,315941,6817620,7133561,,,,,,,,,,,,,,,,,
ABB,Q52825,https://library.e.abb.com/public/4790c4296c5146e6ab4420c7d58f8088/ABB%20Sustainability%20Report%202023.pdf?x-sign=J8XORiFwReXhGJscjFPNbWWlXyHIp0NR9tblxaUjv5E3HVcIhN1s51ECDCZZrStU,32235000000,usd,110442,"128,000","23,000","285,000",,,151000,436346000,436497000,16485000,94000,65000,699000,15000,154000,175000,,62000,,418318000,264000,3000,,11000,,860
Addlife,Q106627314,https://www.add.life/media/nwepx4r4/addlife-annual-report-2023.pdf,9658000000,sek,2301,"8,491","1,846","1,193",16244,26581,10337,16244,26581,,,1437,,7624,7183,,,,,,,,,,,
Addnode Group,Q98602838,https://www.addnodegroup.com/wp-content/uploads/Addnode-Group_2023_ENG.pdf,7564000000,sek,2654,,,,,,,,,,,,,,,,,,,,,,,,,
Addtech,Q10400997,https://www.addtech.se/fileadmin/user_upload/Arsredovisningar/Addtech-Arsredovisning-22-23.pdf,18714000000,sek,3781,"2,446","4,273","3,887",34103,40436,6719,34103,40822,,,83,30353,,3667,,,,,,,,,,,
AFRY,Q3429427,https://afry.com/sites/default/files/2024-03/%C3%85rs-%20och%20h%C3%A5llbarhetsredovisning%202023.pdf,27000000000,sek,18984,440,"3,114","2,275",10999,14553,3554,10999,14553,,,,,,10999,,,,,,,,,,,
Akademiska hus,Q10403939,https://www.akademiskahus.se/globalassets/dokument/ekonomi/ekonomiska-rapporter/akademiska-hus-arsredovisning-2023-sve.pdf,7626000000,sek,559,852,"6,385","29,564",24699,31936,7237,24699,31936,8030,8942,5635,1274,542,88,188,,,,,,,,,,
Alfa Laval,Q686030,https://www.alfalaval.com/globalassets/documents/investors/english/annual-reports/2023/sustainability-notes-2023.pdf,63598000000,sek,17210,"16,282","5,082","50,071",44554244,,21364,44554244,44575608,605623,62110,17150,48308,2203,26443,2717,,9662,,43749138,5889,,,,,
Alleima,Q115112945,https://www.alleima.com/siteassets/documents/ir/ar-2023/alleima-annual-report-2023.pdf,20669000000,sek,6110,"86,000","10,000","61,000",,,96000,,96000,,,,,,,,,,,,,,,,,16598
Apoteket,Q1785637,https://www.apoteket.se/globalassets/om-apoteket/ekonomiska-rapporter/apoteket-ab-ars--och-hallbarhetsredovisning-2023.pdf,23270000000,sek,2885,95,826,824,426793,427714,921,426793,427714,418963,1667,245,2305,442,405,1934,,,,,823,,,,,
